--------------------------------------------------------------------------------

		Marvellous Infosystems Process Log
		Log file is created at : Mon Jun 23 00:24:25 2025
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375} 

{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'vms': 0.0390625} 

{'name': '', 'username': None, 'pid': 140, 'vms': 0.16796875} 

{'name': 'Registry', 'username': None, 'pid': 184, 'vms': 8.2890625} 

{'name': 'svchost.exe', 'username': None, 'pid': 560, 'vms': 1.80078125} 

{'name': 'smss.exe', 'username': None, 'pid': 580, 'vms': 1.1328125} 

{'name': 'chrome.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 752, 'vms': 19.3984375} 

{'name': 'Code.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 760, 'vms': 10.625} 

{'name': 'svchost.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 772, 'vms': 8.00390625} 

{'name': 'csrss.exe', 'username': None, 'pid': 904, 'vms': 2.234375} 

{'name': 'wininit.exe', 'username': None, 'pid': 988, 'vms': 1.66015625} 

{'name': 'services.exe', 'username': None, 'pid': 1032, 'vms': 5.72265625} 

{'name': 'LsaIso.exe', 'username': None, 'pid': 1044, 'vms': 1.3984375} 

{'name': 'lsass.exe', 'username': None, 'pid': 1060, 'vms': 11.13671875} 

{'name': 'svchost.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 1128, 'vms': 9.03515625} 

{'name': 'svchost.exe', 'username': None, 'pid': 1132, 'vms': 6.54296875} 

{'name': 'svchost.exe', 'username': None, 'pid': 1200, 'vms': 13.5546875} 

{'name': 'svchost.exe', 'username': None, 'pid': 1212, 'vms': 3.42578125} 

{'name': 'fontdrvhost.exe', 'username': None, 'pid': 1232, 'vms': 1.67578125} 

{'name': 'WUDFHost.exe', 'username': None, 'pid': 1276, 'vms': 8.359375} 

{'name': 'SecurityHealthService.exe', 'username': None, 'pid': 1296, 'vms': 7.83203125} 

{'name': 'svchost.exe', 'username': None, 'pid': 1360, 'vms': 9.71484375} 

{'name': 'svchost.exe', 'username': None, 'pid': 1408, 'vms': 2.9921875} 

{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 1528, 'vms': 2.49609375} 

{'name': 'svchost.exe', 'username': None, 'pid': 1540, 'vms': 1.23046875} 

{'name': 'svchost.exe', 'username': None, 'pid': 1556, 'vms': 6.0859375} 

{'name': 'svchost.exe', 'username': None, 'pid': 1576, 'vms': 5.6640625} 

{'name': 'svchost.exe', 'username': None, 'pid': 1584, 'vms': 2.21875} 

{'name': 'svchost.exe', 'username': None, 'pid': 1596, 'vms': 3.28125} 

{'name': 'svchost.exe', 'username': None, 'pid': 1620, 'vms': 2.09375} 

{'name': 'svchost.exe', 'username': None, 'pid': 1628, 'vms': 3.71484375} 

{'name': 'chrome.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 1676, 'vms': 148.671875} 

{'name': 'svchost.exe', 'username': None, 'pid': 1752, 'vms': 1.67578125} 

{'name': 'svchost.exe', 'username': None, 'pid': 1760, 'vms': 3.76171875} 

{'name': 'svchost.exe', 'username': None, 'pid': 1788, 'vms': 6.1796875} 

{'name': 'svchost.exe', 'username': None, 'pid': 1808, 'vms': 3.06640625} 

{'name': 'svchost.exe', 'username': None, 'pid': 1828, 'vms': 2.17578125} 

{'name': 'svchost.exe', 'username': None, 'pid': 1892, 'vms': 2.56640625} 

{'name': 'svchost.exe', 'username': None, 'pid': 1896, 'vms': 2.59765625} 

{'name': 'MsMpEng.exe', 'username': None, 'pid': 2016, 'vms': 402.140625} 

{'name': 'IntelCpHDCPSvc.exe', 'username': None, 'pid': 2064, 'vms': 1.32421875} 

{'name': 'svchost.exe', 'username': None, 'pid': 2104, 'vms': 2.9453125} 

{'name': 'ApplicationFrameHost.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 2228, 'vms': 63.9609375} 

{'name': 'svchost.exe', 'username': None, 'pid': 2244, 'vms': 1.78125} 

{'name': 'svchost.exe', 'username': None, 'pid': 2304, 'vms': 3.65234375} 

{'name': 'svchost.exe', 'username': None, 'pid': 2344, 'vms': 1.94921875} 

{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 2536, 'vms': 82.15234375} 

{'name': 'svchost.exe', 'username': None, 'pid': 2664, 'vms': 2.859375} 

{'name': 'WUDFHost.exe', 'username': None, 'pid': 2676, 'vms': 5.375} 

{'name': 'svchost.exe', 'username': None, 'pid': 2808, 'vms': 2.41796875} 

{'name': 'svchost.exe', 'username': None, 'pid': 2836, 'vms': 1.4140625} 

{'name': 'Code.exe', 'username': 'DESKTOP-E8PGFTM\\admin', 'pid': 2992, 'vms': 13.7265625} 

{'name': 'svchost.exe', 'username': None, 'pid': 3028, 'vms': 6.09765625} 

{'name': 'svchost.exe', 'username': None, 'pid': 3044, 'vms': 15.5390625} 

{'name': 'svchost.exe', 'username': None, 'pid': 3064, 'vms': 1.7578125} 

{'name': 'svchost.exe', 'username': None, 'pid': 3088, 'vms': 3.2734375} 

{'name': 'svchost.exe', 'username': None, 'pid': 3140, 'vms': 10.83203125} 

{'name': 'MemCompression', 'username': None, 'pid': 3292, 'vms': 1.421875} 

{'name': 'svchost.exe', 'username': None, 'pid': 3336, 'vms': 2.3828125} 

